energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,track_popularity,track_album_name,track_id,track_name,track_album_id,mode,key,duration_ms,acousticness,id,playlist_subgenre,playlist_id
0.668,90.969,0.646,pop,-5.203,0.212,0.64,Mark Ambor,82,Belong Together,5uQ7de4EWjb3rkcFxyEOpu,Belong Together,3PlCMwyq6nuQYtoYproV1o,1,2,148318,0.491,5uQ7de4EWjb3rkcFxyEOpu,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.668,128.027,0.924,pop,-6.795,0.0678,0.787,KAROL G,93,Si Antes Te Hubiera Conocido,6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,5ylbxH7EqpsmHZCRuiYewS,1,11,195824,0.446,6WatFBLVB0x077xWeoVc2k,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.454,159.982,0.689,pop,-7.643,0.0707,0.912,Djo,89,DECIDE,3qhlB30KknSejmIvZZLjOD,End of Beginning,4JDXBZdRPId4devseaAOKH,1,2,159246,0.0351,3qhlB30KknSejmIvZZLjOD,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.386,192.004,0.504,pop,-10.976,0.0961,0.281,"Taylor Swift, Post Malone",84,THE TORTURED POETS DEPARTMENT,2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),1Mo4aZ8pdj6L1jx8zSwJnt,1,11,228965,0.502,2OzhQlSqBEmt7hmkYxfT6m,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.681,155.079,0.56,pop,-6.304,0.106,0.388,"Omar Courtz, De La Rose",89,PRIMERA MUSA,0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,3C5uwdRE5QRoXSGPPxpDd4,0,6,223320,0.103,0Sr7ssScx54yxdM2ols7nW,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.472,101.061,0.898,pop,-7.001,0.141,0.214,Kendrick Lamar,88,Not Like Us,6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,5JjnoGJyOxfSZUZtk2rRwZ,1,1,274192,0.0107,6AI3ezQ4o3HUoP6Dhudph3,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.711,146.921,0.487,pop,-4.22,0.152,0.317,Jin,85,Happy,4p7DTkyrKqT98xlIwYYfXz,Running Wild,0fKlaQuBMQYFo5aIFoGIXt,1,8,151647,0.000175,4p7DTkyrKqT98xlIwYYfXz,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.712,91.98,0.848,pop,-3.574,0.106,0.692,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",84,57,3mg9jYNC1NihbthlglzrWP,57,5TT8KluomuelzsNF7T1U37,0,1,298131,0.221,3mg9jYNC1NihbthlglzrWP,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.645,114.933,0.882,pop,-7.233,0.057,0.788,Ndotz,87,Embrace It,0io16MKpbeDIdYzmGpQaES,Embrace It,0mV9Pfr1GfoZLkp1EAau9P,1,1,104419,0.475,0io16MKpbeDIdYzmGpQaES,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.872,184.115,0.466,pop,-3.344,0.121,0.806,Linkin Park,89,The Emptiness Machine,2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,6W0Gabv5f3ugnckc6YgfJQ,1,7,190428,0.0156,2PnlsTsOTLE5jnBnNe2K0A,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.756,116.034,0.66,pop,-3.743,0.193,0.838,Jimin,92,MUSE,7tI8dRuH2Yc6RuoTjxo4dU,Who,15XcLhiVMlSOipUddTNDnr,0,0,170888,0.00289,7tI8dRuH2Yc6RuoTjxo4dU,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.508,147.125,0.579,rock,-9.484,0.0575,0.609,Eagles,81,Hotel California (2013 Remaster),40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,2widuo17g5CEC66IbzveRu,1,2,391376,0.00574,40riOy7x9W7GXjyGp4pjAv,classic,37i9dQZF1DWXRqgorJj26U
0.89,133.52,0.502,rock,-5.175,0.217,0.259,AC/DC,83,The Razors Edge,57bgtoPSgt236HzfBOd8kj,Thunderstruck,4vu7F6h90Br1ZtYYaqfITy,1,4,292880,0.000147,57bgtoPSgt236HzfBOd8kj,classic,37i9dQZF1DWXRqgorJj26U
0.446,123.596,0.743,rock,-7.807,0.337,0.278,The White Stripes,82,Elephant,3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,6D9urpsOWWKtYvF6PaorGE,0,4,232107,0.0039,3dPQuX8Gs42Y7b454ybpMR,classic,37i9dQZF1DWXRqgorJj26U
0.43,91.844,0.515,rock,-9.935,0.129,0.104,Radiohead,86,Pablo Honey,70LcF31zb1H0PyJoS1Sx1r,Creep,3gBVdu4a1MMJVMy6vwPEb8,1,7,238640,0.0097,70LcF31zb1H0PyJoS1Sx1r,classic,37i9dQZF1DWXRqgorJj26U
0.824,120.125,0.5,rock,-5.846,0.0916,0.539,Nirvana,76,Nevermind (Remastered),4P5KoWXOxwuobLmHXLMobV,Come As You Are,2guirTSEqLizK7j9i1MTTZ,0,4,218920,0.00016,4P5KoWXOxwuobLmHXLMobV,classic,37i9dQZF1DWXRqgorJj26U
0.767,96.483,0.592,rock,-2.788,0.127,0.328,Red Hot Chili Peppers,81,Californication (Deluxe Edition),48UPSzbZjgc449aqz8bxox,Californication,2Y9IRtehByVkegoD7TcLfi,0,9,329733,0.0021,48UPSzbZjgc449aqz8bxox,classic,37i9dQZF1DWXRqgorJj26U
0.952,125.304,0.445,rock,-5.321,0.112,0.624,Guns N' Roses,84,Appetite For Destruction,7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,28yHV3Gdg30AiB8h8em1eW,1,6,356067,0.09,7snQQk1zcKl8gZ92AnueZW,classic,37i9dQZF1DWXRqgorJj26U
0.795,158.691,0.464,rock,-9.267,0.399,0.612,The Rolling Stones,81,Aftermath,63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",72qrnM4yUNMDDlWiqKc8iY,1,1,202267,0.0493,63T7DJ1AFDD6Bn8VzG6JE8,classic,37i9dQZF1DWXRqgorJj26U
0.492,120.151,0.828,rock,-9.744,0.128,0.789,Fleetwood Mac,84,Rumours (Super Deluxe),0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,0BwWUstDMUbgq2NYONRqlu,1,0,257800,0.0644,0ofHAoxe9vBkTCp2UQIavz,classic,37i9dQZF1DWXRqgorJj26U
0.881,158.066,0.413,rock,-5.541,0.0805,0.364,Foo Fighters,81,The Colour And The Shape,5UWwZ5lm5PKu6eKsHAGxOk,Everlong,30ly6F6Xl0TKmyBCU50Khv,0,11,250547,5.99E-05,5UWwZ5lm5PKu6eKsHAGxOk,classic,37i9dQZF1DWXRqgorJj26U
0.716,94.379,0.535,rock,-5.025,0.659,0.901,Joan Jett & the Blackhearts,77,I Love Rock 'N' Roll (Expanded Edition),2Cdvbe2G4hZsnhNMKyGrie,I Love Rock 'N Roll,555qwe1qUgLdee80TZ2CQt,1,4,175173,0.326,2Cdvbe2G4hZsnhNMKyGrie,classic,37i9dQZF1DWXRqgorJj26U
0.322,93.503,0.475,rock,-10.687,0.11,0.387,Kansas,79,Point Of Know Return (Expanded Edition),6zeE5tKyr8Nu882DQhhSQI,Dust in the Wind,6oU298pdPTCQnMx1PYwyUA,1,7,206267,0.367,6zeE5tKyr8Nu882DQhhSQI,classic,37i9dQZF1DWXRqgorJj26U
0.394,104.114,0.693,rock,-15.882,0.247,0.721,Pink Floyd,74,The Wall,4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",5Dbax7G8SWrP9xyzkOvy2F,1,0,238747,0.0782,4gMgiXfqyzZLMhsksGmbQV,classic,37i9dQZF1DWXRqgorJj26U
0.899,152.445,0.475,rock,-4.321,0.14,0.603,Bon Jovi,72,Bon Jovi,0X1sqQ652p1sceKM2nJlIJ,Runaway,1UUOBzIHw0noiRGRpbt3sz,0,9,230667,0.00375,0X1sqQ652p1sceKM2nJlIJ,classic,37i9dQZF1DWXRqgorJj26U
0.943,85.064,0.442,rock,-3.205,0.091,0.781,Green Day,80,Dookie,6L89mwZXSOwYl76YXfX13s,Basket Case,4uG8q3GPuWHQlRbswMIRS6,1,3,181533,0.00293,6L89mwZXSOwYl76YXfX13s,classic,37i9dQZF1DWXRqgorJj26U
0.345,84.581,0.559,rock,-13.496,0.141,0.458,Red Hot Chili Peppers,82,Blood Sugar Sex Magik (Deluxe Edition),3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,30Perjew8HyGkdSmqguYyg,1,4,264307,0.0576,3d9DChrdc6BOeFsbrZ3Is0,classic,37i9dQZF1DWXRqgorJj26U
0.814,147.193,0.673,rock,-5.411,0.343,0.728,Billy Idol,70,Billy Idol,1gzIbdFnGJ226LTl0Cn2SX,White Wedding - Pt. 1,5ebh0MxkqELmk50xHj2b4k,1,9,252200,0.0134,1gzIbdFnGJ226LTl0Cn2SX,classic,37i9dQZF1DWXRqgorJj26U
0.767,127.361,0.532,rock,-5.509,0.39,0.755,AC/DC,81,Back In Black,2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,6mUdeDZCsExyJLMdAfDuwh,1,7,210173,0.00287,2SiXAy7TuUkycRVbbWDEpo,classic,37i9dQZF1DWXRqgorJj26U
0.863,136.302,0.723,rock,-7.89,0.128,0.931,The Rolling Stones,76,Out Of Our Heads,2PzU4IB8Dr6mxV3lHuaG34,(I Can't Get No) Satisfaction - Mono Version,2Q5MwpTmtjscaS34mJFXQQ,1,2,222813,0.0383,2PzU4IB8Dr6mxV3lHuaG34,classic,37i9dQZF1DWXRqgorJj26U
0.449,100.456,0.486,rock,-10.298,0.54,0.549,David Bowie,76,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),0pQskrTITgmCMyr85tb9qq,Starman - 2012 Remaster,48D1hRORqJq52qsnUYZX56,1,5,254293,0.166,0pQskrTITgmCMyr85tb9qq,classic,37i9dQZF1DWXRqgorJj26U
0.902,89.74,0.412,rock,-11.6,0.405,0.422,Led Zeppelin,72,Led Zeppelin II (1994 Remaster),0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,70lQYZtypdCALtFVlQAcvx,1,9,333893,0.0484,0hCB0YR03f6AmQaHbwWDe8,classic,37i9dQZF1DWXRqgorJj26U
0.722,103.886,0.55,rock,-11.729,0.11,0.716,The Doors,70,L.A. Woman,14XWXWv5FoCbFzLksawpEe,Riders on the Storm,7IKUTIc9UWuVngyGPtqNHS,0,11,434720,0.25,14XWXWv5FoCbFzLksawpEe,classic,37i9dQZF1DWXRqgorJj26U
0.944,105.338,0.394,rock,-6.506,0.298,0.265,Pearl Jam,77,Ten,6QewNVIDKdSl8Y3ycuHIei,Even Flow,5B4PYA7wNN4WdEXdIJu58a,0,10,292581,0.00178,6QewNVIDKdSl8Y3ycuHIei,classic,37i9dQZF1DWXRqgorJj26U
0.952,122.093,0.398,rock,-6.042,0.1,0.584,Bruce Springsteen,72,Born In The U.S.A.,0dOg1ySSI7NkpAe89Zo0b9,Born in the U.S.A.,0PMasrHdpaoIRuHuhHp72O,1,4,278680,0.000373,0dOg1ySSI7NkpAe89Zo0b9,classic,37i9dQZF1DWXRqgorJj26U
0.917,171.176,0.356,rock,-6.006,0.406,0.518,The Verve,79,Urban Hymns (Remastered 2016),57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony - Remastered 2016,52AeC4gwbxDfFlLHgK1ByD,1,9,357267,0.0335,57iDDD9N9tTWe75x6qhStw,classic,37i9dQZF1DWXRqgorJj26U
0.589,124.634,0.455,rock,-8.64,0.104,0.254,Guns N' Roses,75,Use Your Illusion I,2N2yrmodOnVF10mKvItC9P,Don't Cry (Original),0CxPbTRARqKUYighiEY9Sz,1,11,283733,0.00184,2N2yrmodOnVF10mKvItC9P,classic,37i9dQZF1DWXRqgorJj26U
0.805,113.253,0.438,rock,-6.237,0.0842,0.564,Jimi Hendrix,72,Electric Ladyland,2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,5z090LQztiqh13wYspQvKQ,1,8,240800,0.00255,2aoo2jlRnM3A0NyLQqMN2f,classic,37i9dQZF1DWXRqgorJj26U
0.239,189.507,0.446,rock,-13.945,0.0697,0.298,Phil Collins,76,Face Value (Deluxe Editon),18AXbzPzBS8Y3AkgSxzJPb,In The Air Tonight - 2015 Remastered,1cM3r0WQZWNkCpEbmFjLln,1,0,336453,0.551,18AXbzPzBS8Y3AkgSxzJPb,classic,37i9dQZF1DWXRqgorJj26U
0.521,123.118,0.721,rock,-8.123,0.127,0.942,Talking Heads,76,Talking Heads '77 (Deluxe Version),1i6N76fftMZhijOzFQ5ZtL,Psycho Killer - 2005 Remaster,5eqcF7pWzHgWpGdEmHgeSN,1,2,261413,0.0708,1i6N76fftMZhijOzFQ5ZtL,classic,37i9dQZF1DWXRqgorJj26U
0.67,129.269,0.619,rock,-10.322,0.331,0.777,Lenny Kravitz,71,Are You Gonna Go My Way,45Ia1U4KtIjAPPU7Wv1Sea,Are You Gonna Go My Way,35LzZH7Fgog8lf1hfcdoMQ,0,11,211933,0.00165,45Ia1U4KtIjAPPU7Wv1Sea,classic,37i9dQZF1DWXRqgorJj26U
0.828,105.25,0.539,rock,-9.108,0.154,0.562,Metallica,70,Master of Puppets (Remastered Deluxe Box Set),54bm2e3tk8cliUz3VSdCPZ,Master of Puppets (Remastered),7CGhx630DIjdJqaBDVKc5j,0,4,515387,0.00067,54bm2e3tk8cliUz3VSdCPZ,classic,37i9dQZF1DWXRqgorJj26U
0.487,114.965,0.73,rock,-10.991,0.0852,0.731,Fleetwood Mac,79,Tango In the Night (Deluxe Edition),254bXAqt3zP6P50BdQvEsq,Everywhere - 2017 Remaster,4AsXQ17Arq1cUVoa9dKJ3F,1,4,226653,0.258,254bXAqt3zP6P50BdQvEsq,classic,37i9dQZF1DWXRqgorJj26U
0.697,116.109,0.741,rock,-7.028,0.133,0.774,Creedence Clearwater Revival,84,Pendulum (Expanded Edition),2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,372cMadhAGlNuDnc8TssqF,1,0,160133,0.0664,2LawezPeJhN4AWuSB0GtAU,classic,37i9dQZF1DWXRqgorJj26U
0.579,127.215,0.62,rock,-9.307,0.0858,0.691,The Cars,69,The Cars,4alHo6RGd0D3OUbTPExTHN,Just What I Needed,4tJPWT4r4FSKwy784Qs1Fq,1,4,225627,0.0152,4alHo6RGd0D3OUbTPExTHN,classic,37i9dQZF1DWXRqgorJj26U
0.912,116.761,0.502,rock,-4.556,0.106,0.72,Nirvana,76,Nevermind (Remastered),5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,2guirTSEqLizK7j9i1MTTZ,1,1,301920,2.55E-05,5ghIJDpPoe3CfHMGu71E6T,classic,37i9dQZF1DWXRqgorJj26U
0.833,88.785,0.466,rock,-4.215,0.0327,0.661,Rage Against The Machine,78,Rage Against The Machine - XX (20th Anniversary Special Edition),59WN2psjkt1tyaxjspN8fp,Killing In The Name,4Io5vWtmV1rFj4yirKb4y4,1,7,313573,0.0266,59WN2psjkt1tyaxjspN8fp,classic,37i9dQZF1DWXRqgorJj26U
0.376,164.775,0.53,rock,-11.913,0.0926,0.188,The Beatles,75,Abbey Road (Remastered),2EqlS6tkEnglzr7tkKAAYD,Come Together - Remastered 2009,0ETFjACtuP2ADo6LFhL6HN,0,9,259947,0.0304,2EqlS6tkEnglzr7tkKAAYD,classic,37i9dQZF1DWXRqgorJj26U
